repo_name,refactors
dials/dials,155
digimezzo/Dopamine,51
digitalocean/netbox,89
djjudas21/photography-database,60
dmf463/VRPoker,12
dmtrKovalenko/material-ui-pickers,60
dolanmiu/docx,59
domob1812/huntercore,307
dot-bob/Marlin-Duplicator-6,242
dotnet/roslyn,1269
dpressel/baseline,78
dreal/dreal4,75
droundy/deft,55
drupal/drupal,151
dsh2/dotfiles,47
dsherret/ts-simple-ast,126
dthain/basekernel,108
dutchcoders/marija-web,134
dwavesystems/dimod,104
e-gun/HipparchiaServer,47
eMoflon/emoflon-ibex,159
eaciit/windapp,22
eaplatanios/tensorflow_scala,131
easypcceo/easypcceo.github.io,7
ebi-uniprot/QuickGOBE,85
ebraminio/DroidPersianCalendar,155
ec-europa/joinup-dev,207
eciis/web,296
edenlabllc/ehealth.api,107
education/classroom,87
edwardspec/mediawiki-moderation,95
edx/edx-platform,286
eerimoq/asn1tools,126
ehcache/ehcache3,55
eirannejad/pyRevit,150
ekoontz/babel,147
elabftw/elabftw,40
electric-cloud/EC-JBoss,22
electric-cloud/EC-WebSphere,37
electron/electron,394
elix/elix,104
ello/webapp,51
elnormous/ouzel,329
emacs-ess/ESS,155
emacs-mirror/emacs,578
embree/embree,201
endeavourhealth/EDS,61
epam/DLab,132
epu-ntua/bdo_platform,18
eranif/codelite,96
erlang/otp,525
erxes/erxes,457
espressif/ESP8266_RTOS_SDK,191
este/este,123
ethereum/ethereumj,74
ethereum/go-ethereum,199
expertiza/expertiza,78
f1nalspace/final_game_tech,71
fabiocolacio/Marker,39
fable-compiler/Fable,70
facebook/flow,545
facebook/infer,350
factor/factor,105
fake-name/ReadableWebProxy,24
fastai/fastai,286
feathersjs/feathers,25
fedspendingtransparency/data-act-build-tools,46
fetus-hina/stat.ink,16
firebase/firebase-js-sdk,99
fitpay/fitpay-ios-sdk,139
fjalvingh/domui,75
fkeglevich/Raw-Dumper,102
fkie-cad/FACT_core,223
flarum/core,114
flowable/flowable-engine,216
fluent/fluentd-ui,96
fluentmigrator/fluentmigrator,59
fogbeam/cas_mirror,375
foodcoopshop/foodcoopshop,80
