name,fork,language,contributors_count,forks_count,network_count,open_issues_count,stargazers_count,subscribers_count,watchers_count
azdanov/azdanov.github.io,FALSE,JavaScript,4,0,0,0,5,1,5
azkurban/ng2,TRUE,JavaScript,10,0,6,0,0,1,0
azsumas/HorrorShooter,FALSE,C#,8,0,0,38,11,1,11
Azure/azure-quickstart-templates,FALSE,Shell,359,6617,6617,537,4574,574,4574
Azure/azure-sdk-for-node,FALSE,JavaScript,158,533,533,633,996,2060,996
AzureAutomationTeam/azure-powershell,TRUE,C#,328,0,1371,0,0,20,0
AZURECITADEL/azurecitadel.github.io,FALSE,JavaScript,25,31,31,1,23,8,23
b-slim/hive,TRUE,Java,174,1,2315,0,0,0,0
bacongobbler/helm,TRUE,Go,396,0,3200,0,0,1,0
baguswidypriyono/dl-module,TRUE,JavaScript,31,0,37,0,0,0,0
balcirakpeter/perun,TRUE,Java,32,0,51,0,0,2,0
BalticPinguin/libmesh,TRUE,C,55,0,172,0,0,1,0
Bandwidth/shared-components,FALSE,JavaScript,13,8,8,21,14,25,14
Bang3DEngine/BangEditor,FALSE,C++,1,2,2,25,2,2,2
baomidou/mybatis-plus,FALSE,Java,38,1038,1038,20,3816,297,3816
bartdesmet/roslyn,TRUE,C#,289,0,2523,0,1,3,1
bartwe/StaxelTranslations,FALSE,,72,126,126,0,21,17,21
BathHacked/energy-sparks,FALSE,Ruby,5,0,0,19,6,5,6
battlemidget/homebrew-core,TRUE,Ruby,421,0,5673,0,0,1,0
batudaa/opensid,TRUE,PHP,23,0,293,0,0,1,0
bazelbuild/bazel,FALSE,Java,352,1756,1756,1727,10943,547,10943
bazelbuild/rules_apple,FALSE,Python,25,48,48,40,76,21,76
bazurbat/jagen,FALSE,Lua,3,2,2,2,13,3,13
bbfrederick/rapidtide,FALSE,Python,2,1,1,8,14,8,14
bcg62/homebrew-core,TRUE,Ruby,420,0,5673,0,0,1,0
bcgov/hets,FALSE,C#,18,14,14,0,0,11,0
bcreane/calico,TRUE,Ruby,81,0,281,0,0,1,0
bcvsolutions/CzechIdMng,FALSE,Java,17,4,4,0,20,15,20
bdezonia/zorbage,FALSE,Java,1,0,0,0,0,0,0
bdharrington7/NodeBB,TRUE,JavaScript,168,0,1971,0,0,1,0
bdpiparva/gocd,TRUE,Java,112,0,760,0,0,4,0
bdrillard/spark,TRUE,Scala,339,0,17972,0,0,0,0
